Source,Description,ID,Units,missing,complete,n,mean,sd,0 percentile,25 percentile,median,75 percentile,100 percentile,Distribution histogram,Analyzed timeframe ,Link,Resolution,Data access,,,
Latitude,Latitude,Latitude,degrees,0,1131,1131,48.27,7.19,15.11,41.83,48.46,54.74,68.8,________,NA,http://1001genomes.org/accessions.html,NA,NA,,,
Longitude,Longitude,Longitude,degrees,0,1131,1131,3.61,36.77,-123.21,-3.18,11.01,16.43,136.31,________,NA,http://1001genomes.org/accessions.html,NA,NA,,,
Measurements of Pollution In The Troposphere (MOPITT),MOPITT Carbon monoxide spring,CO Spring,ppbv,4,1127,1131,126.61,6.83,93.58,122.13,127.8,130.89,157.21,________,2001-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOP_CO_M,0.25°,15-Feb-17,,,
Measurements of Pollution In The Troposphere (MOPITT),MOPITT Carbon monoxide summer,CO Summer,ppbv,4,1127,1131,97.44,7.91,71.78,91.67,96.06,104.68,120.06,________,2001-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOP_CO_M,0.25°,15-Feb-17,,,
Ozone Monitoring Instrument (OMI),OMI Nitrogen dioxide spring,NO2 Spring,billion molecules/mm2,0,1131,1131,320.27,210.15,5.91,164.86,255.91,409.12,1345.67,________,2004-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=AURA_NO2_M,0.1°,17-Feb-17,,,
Ozone Monitoring Instrument (OMI),OMI Nitrogen dioxide summer,NO2 Summer,billion molecules/mm2,0,1131,1131,219.3,134.79,43.87,131.07,194.88,261.15,1005.58,________,2004-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=AURA_NO2_M,0.1°,17-Feb-17,,,
Ozone Monitoring Instrument (OMI),OMI Ozone spring,O3 Spring,Dobson Units,0,1131,1131,356.89,12.08,266.98,347.63,358.51,367.17,383.46,________,2004-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=AURA_OZONE_M,0.25°,15-Feb-17,,,
Ozone Monitoring Instrument (OMI),OMI Ozone summer,O3 Summer,Dobson Units,0,1131,1131,320.4,9.08,273.75,315.65,322.24,327.3,336.36,________,2004-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=AURA_OZONE_M,0.25°,15-Feb-17,,,
SiB3 Modeled Global 1-degree Hourly Biosphere-Atmosphere Carbon Flux,SIB3 carbon flux spring,SIB3 carbon flux spring,mol/m2/seg,210,921,1131,-9.10E-07,6.60E-07,-3.50E-06,-1.30E-06,-8.60E-07,-4.80E-07,6.30E-07,________,1998-2006,https://webmap.ornl.gov/wcsdown/wcsdown.jsp?dg_id=909_132,1°,21-Nov-16,,,
SiB3 Modeled Global 1-degree Hourly Biosphere-Atmosphere Carbon Flux,SIB3 carbon flux summer,SIB3 carbon flux summer,mol/m2/seg,210,921,1131,-9.20E-07,1.30E-06,-3.40E-06,-1.70E-06,-1.40E-06,-1.50E-07,2.10E-06,________,1998-2006,https://webmap.ornl.gov/wcsdown/wcsdown.jsp?dg_id=909_132,1°,21-Nov-16,,,
Ozone Monitoring Instrument (OMI),OMI UV index spring,UV Spring,NASA Earth Observations,0,1131,1131,5.66,1.69,1.92,4.12,5.58,6.99,14.2,________,2004-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=AURA_UVI_CLIM_M,0.5°,16-Feb-17,,,
Ozone Monitoring Instrument (OMI),OMI UV index summer,UV Summer,NASA Earth Observations,0,1131,1131,8.16,1.8,3.72,6.41,8.16,9.58,16,________,2004-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=AURA_UVI_CLIM_M,0.5°,16-Feb-17,,,
Clouds and Earth's Radiant Energy System (CERES),CERES Solar insolation spring,Solar insolation spring,W/m2,0,1131,1131,9.47E+01,1.13E+01,6.15E+01,8.68E+01,9.24E+01,1.01E+02,1.46E+02,________,2006-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=CERES_INSOL_M,0.25°,18-Feb-17,,,
Clouds and Earth's Radiant Energy System (CERES),CERES Solar insolation summer,Solar insolation summer,W/m2,0,1131,1131,122.92,17.03,85.42,109.83,116.5,134.12,165.67,________,2006-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=CERES_INSOL_M,0.25°,18-Feb-17,,,
FLASHFlux,FLASHFlux Net radiation spring,Net radiation spring,W/m2,0,1131,1131,136.03,8.93,106.63,129.89,133.33,143.33,171.67,________,2006-2011,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=CERES_NETFLUX_M,0.25°,15-Feb-17,,,
FLASHFlux,FLASHFlux Net radiation summer,Net radiation summer,W/m2,0,1131,1131,157.29,7.12,136.3,153.07,156.7,162,180,________,2006-2011,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=CERES_NETFLUX_M,0.25°,15-Feb-17,,,
Gravity Recovery and Climate Experiment (GRACE),GRACE Water equivalent anomaly spring,Water eq. anomaly Spring,cm,0,1131,1131,139.96,12.36,107.58,132.85,139.77,146.73,255,________,2002-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=GRACE_LWE_M,0.5°,21-Nov-16,,,
Gravity Recovery and Climate Experiment (GRACE),GRACE Water equivalent anomaly summer,Water eq. anomaly Summer,cm,0,1131,1131,122.11,10.16,71.95,116,120.38,127.46,255,________,2002-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=GRACE_LWE_M,0.5°,21-Nov-16,,,
Tropical Rainfall Monitoring Mission (TRMM),TRMM Rainfall spring,Rainfall spring,mm,452,679,1131,93.58,26.05,3.55,74.17,92.23,108.28,205.23,________,2001-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=TRMM_3B43M,0.25°,15-Feb-17,,,
Tropical Rainfall Monitoring Mission (TRMM),TRMM Rainfall summer,Rainfall summer,mm,452,679,1131,80.79,45.07,1.2,38.47,92.43,115.76,260.26,________,2001-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=TRMM_3B43M,0.25°,15-Feb-17,,,
Moderate-resolution imaging spectroradiometer (MODIS): MOD05L2,MOD05L2 Total precipitable water (water vapor) spring,Precipitable water spring,cm,0,1131,1131,1.34,0.25,0.19,1.22,1.34,1.49,3.28,________,2002-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MYDAL2_M_SKY_WV,0.1°,15-Feb-17,,,
Moderate-resolution imaging spectroradiometer (MODIS): MOD05L2,MOD05L2 Total precipitable water (water vapor) summer,Precipitable water summer,cm,0,1131,1131,2.4,0.4,0.3,2.13,2.37,2.62,4.62,________,2002-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MYDAL2_M_SKY_WV,0.1°,15-Feb-17,,,
Moderate-resolution imaging spectroradiometer (MODIS): MOD11C3,MOD11C3 Average land surface day temperature spring,LTemp day spring,°C,132,999,1131,15.33,4.75,-3.04,12.76,15.7,18.36,34.53,________,2001-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOD_LSTD_CLIM_M,0.1°,16-Feb-17,,,
